transaction_id,timestamp,hour,day_of_week,is_weekend,amount,atm_location,card_type,pin_failures,transaction_success,velocity_1h,velocity_24h,distance_from_home_km,balance_after,account_age_days,is_fraud
6253,2024-11-23 13:15:06,13,5,1,252.19,Shopping Mall,Amex,0,1,3,2,15.68,12266.93,1138,0
4685,2024-07-07 07:54:44,7,6,1,114.0,Gas Station,MasterCard,0,1,2,3,48.08,29428.76,474,0
1732,2024-12-05 11:30:51,11,3,0,278.66,Remote Village,Visa,0,1,2,3,44.24,38240.28,2482,0
4743,2024-05-12 10:16:29,10,6,1,390.8,Shopping Mall,Visa,0,1,2,6,23.04,33746.64,1740,0
4522,2024-01-17 16:53:17,16,2,0,312.17,Hospital,MasterCard,0,1,3,1,30.95,44673.37,1525,0
6341,2024-06-24 05:50:49,5,0,0,171.6,Hospital,MasterCard,0,1,3,2,15.59,17191.8,2673,0
577,2024-07-28 18:21:52,18,6,1,128.41,Train Station,Visa,0,1,3,6,16.67,15211.12,256,0
5203,2024-08-25 04:04:03,4,6,1,175.95,Train Station,Visa,0,1,3,1,13.56,9725.91,2506,0
6364,2024-07-12 08:29:28,8,4,0,456.08,Train Station,RuPay,0,1,3,3,14.85,34308.44,540,0
440,2024-08-26 09:16:55,9,0,0,23.18,Downtown Branch,Amex,1,1,2,6,24.62,49269.53,2383,0
2751,2024-07-24 14:26:00,14,2,0,405.04,Train Station,RuPay,0,1,2,3,18.26,40055.65,1994,0
7488,2024-04-01 10:35:21,10,0,0,471.41,Airport Terminal,MasterCard,0,1,3,5,27.23,17117.06,2907,0
5273,2024-06-11 14:42:02,14,1,0,175.61,Suburban Branch,MasterCard,0,1,3,6,23.1,21537.47,188,0
5654,2024-01-15 09:12:29,9,0,0,34.2,Remote Village,MasterCard,0,1,2,7,1.83,37915.4,3561,0
4000,2024-09-07 21:03:01,21,5,1,259.24,Remote Village,Visa,0,1,1,1,3.58,44224.77,3569,0
6034,2024-07-11 23:32:21,23,3,0,31.5,University Campus,Amex,0,1,3,2,47.2,3125.98,3210,0
583,2024-09-29 08:33:36,8,6,1,331.42,Downtown Branch,Visa,0,1,1,8,30.56,41784.07,291,0
9931,2024-02-12 21:26:25,21,0,0,121.16,Train Station,RuPay,2,1,7,7,720.34,-464.88,4,1
7052,2024-09-18 04:33:03,4,2,0,309.99,Shopping Mall,Visa,0,0,2,2,3.0,12634.41,3208,0
